order_id,order_date,customer_id,product_id,product_name,category,quantity,price,amount,payment_method,city,state,coupon_used,order_status
ORD2023010109187,2023-01-01,32499,1009,Laptop Stand,Electronics,2,17813.94,35627.88,COD,Surat,Gujarat,1,Delivered
ORD2023010109438,2023-01-01,82934,1018,Saree Silk,Clothing,1,476.57,476.57,UPI,Singapore,Singapore,0,Delivered
ORD2023010109907,2023-01-01,19533,1019,Jacket Winter,Clothing,2,371.53,743.06,Credit Card,Pune,Maharashtra,0,Delivered
ORD2023010201921,2023-01-02,31159,1043,Badminton Racket,Sports,2,587.38,1174.76,Credit Card,Bhopal,Madhya Pradesh,0,Delivered
ORD2023010207914,2023-01-02,95510,1022,Vacuum Cleaner,Home,1,251.98,251.98,Credit Card,Ahmedabad,Gujarat,0,Delivered
ORD2023010208480,2023-01-02,77275,1012,Women's Fit Jeans,Clothing,1,2212.23,2212.23,UPI,Indore,Madhya Pradesh,0,Delivered
ORD2023010209706,2023-01-02,96840,1018,Saree Silk,Clothing,3,522.78,1568.34,Debit Card,Patna,Bihar,0,Delivered
ORD2023010209933,2023-01-02,50739,1030,Storage Box,Home,3,2728.37,8185.11,Credit Card,Singapore,Singapore,1,Delivered
ORD2023010300821,2023-01-03,31711,1004,Power Bank 10000mAh,Electronics,1,6998.76,6998.76,UPI,Chennai,Tamil Nadu,0,Shipped
ORD2023010301426,2023-01-03,95745,1010,Webcam 1080p,Electronics,1,17646.3,17646.3,COD,Chennai,Tamil Nadu,0,Shipped
ORD2023010302611,2023-01-03,58285,1018,Saree Silk,Clothing,2,514.84,1029.68,NetBanking,Gurugram,Haryana,0,Delivered
ORD2023010302632,2023-01-03,27373,1017,Kurta Set,Clothing,2,266.56,533.12,Credit Card,Hyderabad,Telangana,0,Delivered
ORD2023010304411,2023-01-03,28839,1042,Football Size-5,Sports,3,398.01,1194.03,UPI,Indore,Madhya Pradesh,0,Delivered
ORD2023010306122,2023-01-03,73620,1003,USB-C Charger,Electronics,2,1279.41,2558.82,Credit Card,Nagpur,Maharashtra,0,Delivered
ORD2023010306737,2023-01-03,75781,1026,Bedsheet Queen,Home,2,308.86,-617.72,UPI,Surat,Gujarat,1,Returned
ORD2023010306897,2023-01-03,91120,1050,Water Bottle Sports,Sports,2,13358.21,26716.42,UPI,Mumbai,Maharashtra,1,Delivered
ORD2023010308406,2023-01-03,22227,1020,Cap Beanie,Clothing,1,630.34,630.34,Credit Card,Hyderabad,Telangana,0,Delivered
ORD2023010308873,2023-01-03,54854,1020,Cap Beanie,Clothing,1,583.43,583.43,Credit Card,Lucknow,Uttar Pradesh,0,Delivered
ORD2023010309865,2023-01-03,51607,1028,Electric Kettle,Home,1,6475.93,6475.93,UPI,Bhopal,Madhya Pradesh,0,Delivered
ORD2023010400072,2023-01-04,41817,1022,Vacuum Cleaner,Home,1,218.17,218.17,UPI,Kochi,Kerala,0,Delivered
ORD2023010400208,2023-01-04,10064,1029,Table Lamp,Home,1,2791.87,2791.87,Debit Card,Lucknow,Uttar Pradesh,0,Delivered
ORD2023010401168,2023-01-04,62165,1003,USB-C Charger,Electronics,1,958.6,958.6,Credit Card,Kolkata,West Bengal,1,Delivered
ORD2023010401483,2023-01-04,48176,1031,Face Wash,Beauty,2,111.03,222.06,Debit Card,Lucknow,Uttar Pradesh,0,Delivered
ORD2023010401901,2023-01-04,25589,1036,Makeup Kit,Beauty,1,365.71,365.71,UPI,Chennai,Tamil Nadu,0,Shipped
ORD2023010402294,2023-01-04,99751,1031,Face Wash,Beauty,3,88.45,265.35,Debit Card,Thiruvananthapuram,Kerala,1,Delivered
ORD2023010403317,2023-01-04,52926,1033,Shampoo Herbal,Beauty,1,1971.17,1971.17,UPI,Kochi,Kerala,0,Delivered
ORD2023010403912,2023-01-04,34450,1003,USB-C Charger,Electronics,2,1107.45,2214.9,Credit Card,Kolkata,West Bengal,0,Delivered
ORD2023010404900,2023-01-04,29266,1042,Football Size-5,Sports,3,403.89,1211.67,NetBanking,Lucknow,Uttar Pradesh,0,Delivered
ORD2023010405339,2023-01-04,69607,1017,Kurta Set,Clothing,2,308.1,616.2,Credit Card,Dubai,UAE,1,Delivered
ORD2023010406571,2023-01-04,53968,1003,USB-C Charger,Electronics,1,1067.3,1067.3,Credit Card,Mumbai,Maharashtra,0,Delivered
ORD2023010407722,2023-01-04,75234,1041,Cricket Bat,Sports,2,10049.5,20099.0,UPI,Lucknow,Uttar Pradesh,0,Delivered
ORD2023010408952,2023-01-04,24601,1017,Kurta Set,Clothing,3,320.0,960.0,Debit Card,Indore,Madhya Pradesh,0,Delivered
ORD2023010409179,2023-01-04,58504,1048,Tennis Balls (Pack of 3),Sports,1,175.06,175.06,NetBanking,Nagpur,Maharashtra,0,Delivered
ORD2023010409486,2023-01-04,13665,1003,USB-C Charger,Electronics,1,1059.69,-1059.69,NetBanking,Noida,Uttar Pradesh,1,Returned
ORD2023010500128,2023-01-05,73528,1029,Table Lamp,Home,1,2863.55,2863.55,UPI,Delhi,Delhi,1,Delivered
ORD2023010501515,2023-01-05,24425,1020,Cap Beanie,Clothing,1,510.54,-510.54,Credit Card,Bengaluru,Karnataka,0,Returned
ORD2023010502295,2023-01-05,87331,1027,Pillow Set,Home,2,7616.66,15233.32,UPI,Thiruvananthapuram,Kerala,0,Delivered
ORD2023010502761,2023-01-05,25489,1046,Skipping Rope,Sports,3,2781.25,8343.75,NetBanking,Bhopal,Madhya Pradesh,0,Delivered
ORD2023010503744,2023-01-05,84693,1007,Portable SSD 1TB,Electronics,2,626.85,1253.7,UPI,Jaipur,Rajasthan,1,Delivered
ORD2023010504503,2023-01-05,68609,1002,Bluetooth Headphones,Electronics,3,2358.8,-7076.4,COD,Indore,Madhya Pradesh,1,Returned
ORD2023010504770,2023-01-05,74005,1014,Sports Shorts,Clothing,2,794.32,1588.64,UPI,Lucknow,Uttar Pradesh,0,Delivered
ORD2023010505235,2023-01-05,88179,1018,Saree Silk,Clothing,3,610.1,1830.3,Credit Card,Gurugram,Haryana,0,Shipped
ORD2023010505862,2023-01-05,48912,1033,Shampoo Herbal,Beauty,1,2259.22,2259.22,UPI,Dubai,UAE,0,Delivered
ORD2023010505947,2023-01-05,44510,1011,Men's Cotton T-Shirt,Clothing,3,2659.09,7977.27,COD,Delhi,Delhi,0,Delivered
ORD2023010506350,2023-01-05,97793,1009,Laptop Stand,Electronics,1,16942.66,16942.66,Credit Card,Bengaluru,Karnataka,1,Delivered
ORD2023010506953,2023-01-05,10420,1028,Electric Kettle,Home,1,6085.11,6085.11,UPI,New York,USA,0,Delivered
ORD2023010508180,2023-01-05,86524,1036,Makeup Kit,Beauty,1,287.67,287.67,COD,Mumbai,Maharashtra,0,Delivered
ORD2023010600205,2023-01-06,93468,1003,USB-C Charger,Electronics,2,1182.62,2365.24,COD,Thiruvananthapuram,Kerala,1,Delivered
ORD2023010602528,2023-01-06,19907,1039,Hair Dryer,Beauty,2,679.73,1359.46,NetBanking,Ahmedabad,Gujarat,0,Delivered
ORD2023010602818,2023-01-06,11561,1044,Yoga Mat 6mm,Sports,2,2065.04,4130.08,UPI,Chandigarh,Chandigarh,0,Delivered
ORD2023010603098,2023-01-06,70308,1041,Cricket Bat,Sports,2,9682.75,19365.5,UPI,New York,USA,0,Delivered
ORD2023010603107,2023-01-06,61786,1020,Cap Beanie,Clothing,1,655.2,655.2,UPI,New York,USA,0,Delivered
ORD2023010603313,2023-01-06,41174,1016,Running Shoes,Clothing,2,335.17,670.34,Credit Card,Delhi,Delhi,1,Delivered
ORD2023010605383,2023-01-06,23336,1036,Makeup Kit,Beauty,2,362.13,724.26,UPI,New York,USA,0,Shipped
ORD2023010605857,2023-01-06,56032,1030,Storage Box,Home,2,2391.64,4783.28,UPI,Lucknow,Uttar Pradesh,1,Delivered
ORD2023010606533,2023-01-06,83318,1032,Moisturizer,Beauty,1,3001.07,3001.07,Credit Card,Pune,Maharashtra,0,Delivered
ORD2023010606553,2023-01-06,46640,1005,Smartwatch Series 5,Electronics,2,4837.09,9674.18,UPI,Kochi,Kerala,0,Delivered
ORD2023010607100,2023-01-06,28706,1045,Dumbbell 5kg,Sports,3,4707.62,0.0,Credit Card,Ahmedabad,Gujarat,0,Cancelled
ORD2023010607574,2023-01-06,90446,1026,Bedsheet Queen,Home,1,320.87,320.87,UPI,Noida,Uttar Pradesh,0,Delivered
ORD2023010607862,2023-01-06,65149,1023,Air Purifier,Home,1,6082.36,0.0,Credit Card,Patna,Bihar,1,Cancelled
ORD2023010607869,2023-01-06,89149,1013,Hoodie Unisex,Clothing,1,3256.41,-3256.41,UPI,Chandigarh,Chandigarh,0,Returned
ORD2023010608680,2023-01-06,18299,1020,Cap Beanie,Clothing,3,596.5,1789.5,UPI,Noida,Uttar Pradesh,1,Delivered
ORD2023010609395,2023-01-06,29760,1040,Lip Balm,Beauty,2,154.65,309.3,UPI,Thiruvananthapuram,Kerala,0,Delivered
ORD2023010700407,2023-01-07,18302,1028,Electric Kettle,Home,1,6473.86,6473.86,Debit Card,Hyderabad,Telangana,0,Delivered
ORD2023010700456,2023-01-07,29547,1012,Women's Fit Jeans,Clothing,1,1747.15,1747.15,Debit Card,Hyderabad,Telangana,0,Delivered
ORD2023010700945,2023-01-07,60010,1018,Saree Silk,Clothing,1,594.77,-594.77,Credit Card,Kochi,Kerala,0,Returned
ORD2023010701283,2023-01-07,62044,1011,Men's Cotton T-Shirt,Clothing,1,2861.54,2861.54,UPI,New York,USA,0,Delivered
ORD2023010701743,2023-01-07,42309,1028,Electric Kettle,Home,3,6220.96,18662.88,Credit Card,Chennai,Tamil Nadu,1,Delivered
ORD2023010701886,2023-01-07,93063,1006,Mechanical Keyboard,Electronics,3,27867.29,83601.87,UPI,Patna,Bihar,1,Delivered
ORD2023010702349,2023-01-07,58402,1004,Power Bank 10000mAh,Electronics,1,9070.97,9070.97,UPI,Thiruvananthapuram,Kerala,0,Delivered
ORD2023010702692,2023-01-07,92096,1050,Water Bottle Sports,Sports,2,13577.79,27155.58,UPI,Pune,Maharashtra,1,Delivered
ORD2023010702977,2023-01-07,74854,1007,Portable SSD 1TB,Electronics,1,575.44,575.44,UPI,Bengaluru,Karnataka,0,Delivered
ORD2023010703271,2023-01-07,24718,1003,USB-C Charger,Electronics,1,1268.31,-1268.31,COD,New York,USA,1,Returned
ORD2023010703710,2023-01-07,56110,1014,Sports Shorts,Clothing,2,726.59,0.0,UPI,Chennai,Tamil Nadu,0,Cancelled
ORD2023010703782,2023-01-07,25210,1006,Mechanical Keyboard,Electronics,1,27099.36,27099.36,Credit Card,Surat,Gujarat,0,Delivered
ORD2023010703964,2023-01-07,52616,1002,Bluetooth Headphones,Electronics,1,2632.74,2632.74,Credit Card,Singapore,Singapore,0,Delivered
ORD2023010704687,2023-01-07,32778,1049,Gym Gloves,Sports,1,6016.12,6016.12,Credit Card,Gurugram,Haryana,0,Delivered
ORD2023010704756,2023-01-07,64679,1031,Face Wash,Beauty,2,102.3,0.0,UPI,Hyderabad,Telangana,0,Cancelled
ORD2023010705301,2023-01-07,19524,1046,Skipping Rope,Sports,1,3243.94,3243.94,UPI,Chennai,Tamil Nadu,0,Delivered
ORD2023010705474,2023-01-07,77847,1044,Yoga Mat 6mm,Sports,1,2189.34,2189.34,Credit Card,Pune,Maharashtra,0,Delivered
ORD2023010706483,2023-01-07,50385,1016,Running Shoes,Clothing,2,297.42,594.84,UPI,Thiruvananthapuram,Kerala,0,Delivered
ORD2023010706503,2023-01-07,54470,1015,Formal Shirt,Clothing,2,996.01,1992.02,UPI,New York,USA,0,Delivered
ORD2023010707230,2023-01-07,84801,1050,Water Bottle Sports,Sports,1,14303.61,14303.61,UPI,Lucknow,Uttar Pradesh,0,Shipped
ORD2023010708252,2023-01-07,90984,1030,Storage Box,Home,1,2671.84,2671.84,Debit Card,Chandigarh,Chandigarh,0,Shipped
ORD2023010708591,2023-01-07,32118,1024,LED Bulb 12W,Home,2,211.38,422.76,Credit Card,Pune,Maharashtra,0,Delivered
ORD2023010708894,2023-01-07,30439,1038,Perfume 100ml,Beauty,2,229.21,458.42,Credit Card,Dubai,UAE,1,Delivered
ORD2023010708984,2023-01-07,20935,1019,Jacket Winter,Clothing,1,385.99,385.99,UPI,Bengaluru,Karnataka,1,Delivered
ORD2023010709396,2023-01-07,27752,1040,Lip Balm,Beauty,1,121.03,121.03,UPI,Nagpur,Maharashtra,0,Shipped
ORD2023010709740,2023-01-07,31788,1048,Tennis Balls (Pack of 3),Sports,2,188.2,376.4,Credit Card,Gurugram,Haryana,0,Delivered
ORD2023010800470,2023-01-08,23057,1002,Bluetooth Headphones,Electronics,2,2065.7,4131.4,UPI,Pune,Maharashtra,0,Delivered
ORD2023010800840,2023-01-08,13491,1030,Storage Box,Home,2,3026.87,6053.74,Credit Card,Ahmedabad,Gujarat,0,Delivered
ORD2023010800898,2023-01-08,85205,1006,Mechanical Keyboard,Electronics,1,24351.28,24351.28,Credit Card,Surat,Gujarat,0,Delivered
ORD2023010801264,2023-01-08,67026,1021,Stainless Steel Bottle,Home,1,364.3,364.3,UPI,Chennai,Tamil Nadu,0,Delivered
ORD2023010801752,2023-01-08,73123,1032,Moisturizer,Beauty,1,2933.94,2933.94,UPI,New York,USA,0,Delivered
ORD2023010801799,2023-01-08,30239,1047,Cycle Helmet,Sports,1,492.02,492.02,Credit Card,Mumbai,Maharashtra,0,Delivered
ORD2023010802131,2023-01-08,37569,1031,Face Wash,Beauty,2,86.51,173.02,Credit Card,Chandigarh,Chandigarh,1,Delivered
ORD2023010802224,2023-01-08,44889,1050,Water Bottle Sports,Sports,3,13418.29,40254.87,Credit Card,Lucknow,Uttar Pradesh,0,Delivered
ORD2023010802360,2023-01-08,69184,1024,LED Bulb 12W,Home,3,174.81,524.43,Credit Card,Noida,Uttar Pradesh,0,Delivered
ORD2023010802817,2023-01-08,97829,1008,4K Action Camera,Electronics,1,10349.83,10349.83,Credit Card,Bengaluru,Karnataka,0,Delivered
ORD2023010803007,2023-01-08,35906,1006,Mechanical Keyboard,Electronics,1,23262.73,23262.73,UPI,Jaipur,Rajasthan,0,Shipped
ORD2023010804096,2023-01-08,18469,1029,Table Lamp,Home,1,2497.92,2497.92,UPI,Delhi,Delhi,1,Delivered
ORD2023010804155,2023-01-08,20686,1023,Air Purifier,Home,2,7111.33,14222.66,Debit Card,Chennai,Tamil Nadu,0,Delivered
ORD2023010804812,2023-01-08,96298,1002,Bluetooth Headphones,Electronics,1,2406.63,2406.63,UPI,Chandigarh,Chandigarh,1,Delivered
ORD2023010805069,2023-01-08,88643,1009,Laptop Stand,Electronics,2,18841.64,37683.28,Debit Card,Surat,Gujarat,1,Delivered
ORD2023010805990,2023-01-08,94074,1023,Air Purifier,Home,1,7970.99,7970.99,Credit Card,Nagpur,Maharashtra,0,Delivered
ORD2023010806812,2023-01-08,30543,1026,Bedsheet Queen,Home,1,401.24,401.24,UPI,Noida,Uttar Pradesh,1,Delivered
ORD2023010807477,2023-01-08,31500,1044,Yoga Mat 6mm,Sports,1,2211.47,2211.47,NetBanking,Mumbai,Maharashtra,0,Delivered
ORD2023010807597,2023-01-08,25804,1007,Portable SSD 1TB,Electronics,3,599.77,1799.31,Debit Card,Bhopal,Madhya Pradesh,0,Delivered
ORD2023010807783,2023-01-08,67352,1003,USB-C Charger,Electronics,1,1051.98,1051.98,Credit Card,Noida,Uttar Pradesh,0,Delivered
ORD2023010807849,2023-01-08,29575,1042,Football Size-5,Sports,3,415.0,1245.0,UPI,Indore,Madhya Pradesh,0,Shipped
ORD2023010808423,2023-01-08,46365,1010,Webcam 1080p,Electronics,1,15055.08,15055.08,UPI,Kochi,Kerala,0,Delivered
ORD2023010808693,2023-01-08,44623,1020,Cap Beanie,Clothing,2,547.62,1095.24,Credit Card,Delhi,Delhi,0,Delivered
ORD2023010808864,2023-01-08,58431,1008,4K Action Camera,Electronics,2,9081.59,18163.18,UPI,Surat,Gujarat,0,Delivered
ORD2023010808963,2023-01-08,85516,1032,Moisturizer,Beauty,1,3093.21,3093.21,Debit Card,Lucknow,Uttar Pradesh,0,Delivered
ORD2023010809380,2023-01-08,78676,1027,Pillow Set,Home,1,7471.81,7471.81,UPI,Lucknow,Uttar Pradesh,0,Delivered
ORD2023010809942,2023-01-08,53969,1010,Webcam 1080p,Electronics,2,16022.68,32045.36,UPI,Thiruvananthapuram,Kerala,1,Delivered
ORD2023010900332,2023-01-09,18539,1002,Bluetooth Headphones,Electronics,2,2533.48,5066.96,Debit Card,Singapore,Singapore,0,Shipped
ORD2023010900563,2023-01-09,85871,1048,Tennis Balls (Pack of 3),Sports,2,221.9,443.8,Debit Card,Indore,Madhya Pradesh,0,Delivered
ORD2023010902533,2023-01-09,75499,1016,Running Shoes,Clothing,1,347.34,347.34,Credit Card,Surat,Gujarat,0,Delivered
ORD2023010902682,2023-01-09,43434,1017,Kurta Set,Clothing,2,322.6,645.2,UPI,Ahmedabad,Gujarat,1,Delivered
ORD2023010903066,2023-01-09,71671,1044,Yoga Mat 6mm,Sports,2,2423.06,4846.12,UPI,Kochi,Kerala,0,Delivered
ORD2023010903117,2023-01-09,32787,1020,Cap Beanie,Clothing,1,596.45,-596.45,UPI,Delhi,Delhi,1,Returned
ORD2023010903419,2023-01-09,65476,1019,Jacket Winter,Clothing,2,396.45,792.9,COD,Thiruvananthapuram,Kerala,0,Delivered
ORD2023010904546,2023-01-09,74367,1035,Sunscreen SPF50,Beauty,2,1015.13,2030.26,NetBanking,Bengaluru,Karnataka,1,Delivered
ORD2023010905346,2023-01-09,14353,1016,Running Shoes,Clothing,1,267.42,267.42,NetBanking,Delhi,Delhi,0,Delivered
ORD2023010905985,2023-01-09,97988,1032,Moisturizer,Beauty,2,2466.5,4933.0,COD,Nagpur,Maharashtra,0,Delivered
ORD2023010908065,2023-01-09,33952,1046,Skipping Rope,Sports,3,2723.46,8170.38,UPI,Pune,Maharashtra,0,Delivered
ORD2023010908265,2023-01-09,40374,1047,Cycle Helmet,Sports,1,464.4,464.4,UPI,Kochi,Kerala,0,Delivered
ORD2023010908618,2023-01-09,17649,1049,Gym Gloves,Sports,1,4783.73,4783.73,Debit Card,Indore,Madhya Pradesh,0,Delivered
ORD2023010909792,2023-01-09,99749,1041,Cricket Bat,Sports,1,10940.9,10940.9,UPI,Chandigarh,Chandigarh,0,Delivered
ORD2023010909835,2023-01-09,46801,1040,Lip Balm,Beauty,1,151.12,151.12,UPI,Kochi,Kerala,0,Delivered
ORD2023011000244,2023-01-10,64348,1024,LED Bulb 12W,Home,2,219.11,438.22,Credit Card,Singapore,Singapore,0,Delivered
ORD2023011003087,2023-01-10,32003,1029,Table Lamp,Home,1,2242.81,-2242.81,UPI,Chandigarh,Chandigarh,0,Returned
ORD2023011004055,2023-01-10,32925,1030,Storage Box,Home,1,2356.43,2356.43,NetBanking,Chandigarh,Chandigarh,0,Delivered
ORD2023011004135,2023-01-10,33461,1023,Air Purifier,Home,1,6542.09,6542.09,Credit Card,Nagpur,Maharashtra,1,Delivered
ORD2023011005133,2023-01-10,68139,1046,Skipping Rope,Sports,1,2751.41,2751.41,COD,Bhopal,Madhya Pradesh,0,Delivered
ORD2023011006685,2023-01-10,77680,1031,Face Wash,Beauty,2,110.92,221.84,UPI,Kolkata,West Bengal,0,Delivered
ORD2023011008212,2023-01-10,21440,1028,Electric Kettle,Home,3,5704.41,17113.23,UPI,Dubai,UAE,0,Delivered
ORD2023011008469,2023-01-10,62443,1036,Makeup Kit,Beauty,3,290.81,872.43,NetBanking,Thiruvananthapuram,Kerala,0,Delivered
ORD2023011009191,2023-01-10,92962,1032,Moisturizer,Beauty,1,3059.38,3059.38,UPI,Dubai,UAE,0,Delivered
ORD2023011100171,2023-01-11,26462,1015,Formal Shirt,Clothing,1,1128.78,1128.78,Debit Card,Kochi,Kerala,0,Delivered
ORD2023011101073,2023-01-11,64795,1022,Vacuum Cleaner,Home,1,189.31,189.31,Debit Card,Nagpur,Maharashtra,0,Delivered
ORD2023011102703,2023-01-11,31148,1039,Hair Dryer,Beauty,2,682.54,1365.08,Credit Card,Patna,Bihar,1,Shipped
ORD2023011102708,2023-01-11,67114,1006,Mechanical Keyboard,Electronics,1,29797.84,29797.84,UPI,Kochi,Kerala,0,Delivered
ORD2023011103945,2023-01-11,78207,1039,Hair Dryer,Beauty,2,752.74,1505.48,UPI,Kochi,Kerala,1,Delivered
ORD2023011105638,2023-01-11,74544,1003,USB-C Charger,Electronics,1,1232.72,1232.72,NetBanking,Pune,Maharashtra,0,Delivered
ORD2023011105784,2023-01-11,70309,1013,Hoodie Unisex,Clothing,1,2963.44,2963.44,UPI,Singapore,Singapore,0,Delivered
ORD2023011105843,2023-01-11,86441,1010,Webcam 1080p,Electronics,1,14207.52,14207.52,Debit Card,Bhopal,Madhya Pradesh,0,Delivered
ORD2023011105981,2023-01-11,14600,1047,Cycle Helmet,Sports,1,514.82,514.82,UPI,Indore,Madhya Pradesh,0,Delivered
ORD2023011200371,2023-01-12,19522,1050,Water Bottle Sports,Sports,3,13748.5,41245.5,NetBanking,Kochi,Kerala,0,Delivered
ORD2023011200794,2023-01-12,51457,1034,Conditioner,Beauty,2,1830.78,3661.56,UPI,Kochi,Kerala,0,Shipped
ORD2023011200936,2023-01-12,66381,1010,Webcam 1080p,Electronics,2,16590.32,-33180.64,UPI,Delhi,Delhi,0,Returned
ORD2023011201513,2023-01-12,25065,1047,Cycle Helmet,Sports,1,564.04,564.04,UPI,Chennai,Tamil Nadu,0,Shipped
ORD2023011201746,2023-01-12,97171,1020,Cap Beanie,Clothing,1,625.5,625.5,UPI,Chandigarh,Chandigarh,0,Delivered
ORD2023011202212,2023-01-12,34956,1004,Power Bank 10000mAh,Electronics,2,8744.29,17488.58,Credit Card,Lucknow,Uttar Pradesh,0,Delivered
ORD2023011202516,2023-01-12,74175,1008,4K Action Camera,Electronics,1,8696.77,8696.77,UPI,Kochi,Kerala,0,Delivered
ORD2023011202685,2023-01-12,87891,1049,Gym Gloves,Sports,1,5366.19,5366.19,UPI,New York,USA,0,Shipped
ORD2023011203223,2023-01-12,49137,1035,Sunscreen SPF50,Beauty,3,963.05,2889.15,UPI,Patna,Bihar,0,Delivered
ORD2023011203263,2023-01-12,69954,1028,Electric Kettle,Home,1,6218.44,6218.44,UPI,Patna,Bihar,1,Delivered
ORD2023011203470,2023-01-12,50670,1047,Cycle Helmet,Sports,1,594.24,594.24,UPI,Pune,Maharashtra,0,Delivered
ORD2023011203689,2023-01-12,26433,1047,Cycle Helmet,Sports,1,558.84,558.84,UPI,Kolkata,West Bengal,0,Delivered
ORD2023011206134,2023-01-12,35346,1016,Running Shoes,Clothing,1,282.92,282.92,UPI,Thiruvananthapuram,Kerala,0,Delivered
ORD2023011206253,2023-01-12,62062,1038,Perfume 100ml,Beauty,1,257.86,257.86,UPI,Bengaluru,Karnataka,0,Delivered
ORD2023011207085,2023-01-12,28595,1031,Face Wash,Beauty,1,112.34,112.34,Debit Card,New York,USA,1,Delivered
ORD2023011208287,2023-01-12,49713,1008,4K Action Camera,Electronics,2,8698.78,17397.56,UPI,Thiruvananthapuram,Kerala,0,Delivered
ORD2023011208531,2023-01-12,44341,1030,Storage Box,Home,1,2814.04,2814.04,UPI,New York,USA,0,Delivered
ORD2023011208844,2023-01-12,11552,1039,Hair Dryer,Beauty,3,766.31,2298.93,COD,Lucknow,Uttar Pradesh,0,Delivered
ORD2023011209236,2023-01-12,98118,1006,Mechanical Keyboard,Electronics,2,26877.36,53754.72,Credit Card,Surat,Gujarat,0,Delivered
ORD2023011209600,2023-01-12,50883,1028,Electric Kettle,Home,1,6396.42,6396.42,COD,Chandigarh,Chandigarh,0,Delivered
ORD2023011209637,2023-01-12,89317,1005,Smartwatch Series 5,Electronics,1,4668.05,-4668.05,Debit Card,Kolkata,West Bengal,1,Returned
ORD2023011209737,2023-01-12,34440,1047,Cycle Helmet,Sports,1,510.71,510.71,Credit Card,Singapore,Singapore,1,Delivered
ORD2023011300010,2023-01-13,68745,1029,Table Lamp,Home,1,2753.52,2753.52,Credit Card,Lucknow,Uttar Pradesh,0,Delivered
ORD2023011300640,2023-01-13,62879,1018,Saree Silk,Clothing,2,559.23,1118.46,Credit Card,Kochi,Kerala,0,Delivered
ORD2023011300882,2023-01-13,89386,1031,Face Wash,Beauty,1,95.94,95.94,UPI,Delhi,Delhi,0,Delivered
ORD2023011304551,2023-01-13,11112,1021,Stainless Steel Bottle,Home,2,365.64,731.28,Credit Card,Noida,Uttar Pradesh,0,Delivered
ORD2023011305858,2023-01-13,87763,1004,Power Bank 10000mAh,Electronics,2,8354.16,16708.32,UPI,New York,USA,0,Delivered
ORD2023011305942,2023-01-13,63942,1023,Air Purifier,Home,1,7686.32,7686.32,UPI,Chennai,Tamil Nadu,0,Delivered
